2026-01-14 13:29:00 | === SCAN PARTS AND DESCRIPTIONS ===
2026-01-14 13:29:00 | Scanning open model for parts and their iProperties descriptions
2026-01-14 13:29:02 | SUCCESS: Connected to existing Inventor instance
2026-01-14 13:29:02 | DETECTED: Document type: 12291
2026-01-14 13:29:02 | DETECTED: Assembly by .iam extension - proceeding
2026-01-14 13:29:02 | DETECTED: Active assembly - N1SCR04-730.iam
2026-01-14 13:29:02 | DETECTED: Full path - C:\Users\Quintin\Documents\Spectiv\3. Working\22. DMS plant\REF\730 CM Head Box Rename Test\730 CM Head Box Rename Test\Workspaces\Workspace\21. SSCR04 - Primary Floats D&R Screen Station\730 CM Head Box\N1SCR04-730.iam
2026-01-14 13:29:03 | USER CONFIRMED: Proceeding with assembly processing
2026-01-14 13:29:03 | CONFIRMED: 42 occurrences to process
2026-01-14 13:29:03 | ASSEMBLY: Detected - N1SCR04-730.iam
2026-01-14 13:29:03 | SCAN: Starting recursive scan for parts and descriptions
2026-01-14 13:29:03 | PART: N1SCR04-730-PL1.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL2.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL3.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL4.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL5.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL6.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL7.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL8.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL9.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PL10.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:03 | PART: N1SCR04-730-PART1.ipt | Description: PIPE - 800NB S.A.B.S.719 - 6 W.T.
2026-01-14 13:29:03 | PART: N1SCR04-730-FLG2.ipt | Description: FLANGE - 600NB S.A.B.S.1123 1000/3 25 TH'K
2026-01-14 13:29:03 | PART: N1SCR04-730-PART2.ipt | Description: PIPE - 500NB S.A.B.S.719 - 6 W.T.
2026-01-14 13:29:03 | PART: N1SCR04-730-FL2.ipt | Description: FLANGE - 500NB S.A.B.S.1123 1000/3 25 TH'K
2026-01-14 13:29:03 | PART: N1SCR04-730-PART3.ipt | Description: PIPE - 200NB S.A.B.S.719 - 6 W.T.
2026-01-14 13:29:03 | PART: N1SCR04-730-FL3.ipt | Description: FLANGE - 200NB S.A.B.S.1123 1000/3 18 TH'K
2026-01-14 13:29:03 | PART: N1SCR04-730-A1.ipt | Description: L60x60x6
2026-01-14 13:29:03 | PART: N1SCR04-730-A2.ipt | Description: L60x60x6
2026-01-14 13:29:03 | PART: N1SCR04-730-A3.ipt | Description: L60x60x6
2026-01-14 13:29:03 | PART: N1SCR04-730-A4.ipt | Description: L60x60x6
2026-01-14 13:29:03 | PART: N1SCR04-730-A5.ipt | Description: L60x60x6
2026-01-14 13:29:03 | PART: N1SCR04-730-A6.ipt | Description: L60x60x6
2026-01-14 13:29:04 | PART: N1SCR04-730-A7.ipt | Description: L50x50x6
2026-01-14 13:29:04 | PART: N1SCR04-730-A8.ipt | Description: L50x50x6
2026-01-14 13:29:04 | PART: N1SCR04-730-PL11.ipt | Description: PL 10mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-PL12.ipt | Description: PL 10mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-PL13.ipt | Description: PL 10mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-FL4.ipt | Description: FL50x8
2026-01-14 13:29:04 | PART: N1SCR04-730-PL14.ipt | Description: PL 25mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-PL15.ipt | Description: PL 20mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-PL16.ipt | Description: PL 8mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-PL17.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-A9.ipt | Description: L60x60x6
2026-01-14 13:29:04 | PART: N1SCR04-730-FL5.ipt | Description: FL50x8
2026-01-14 13:29:04 | PART: N1SCR04-730-FL6.ipt | Description: FL50x8
2026-01-14 13:29:04 | PART: N1SCR04-730-FL7.ipt | Description: FL50x8
2026-01-14 13:29:04 | PART: N1SCR04-730-PART4.ipt | Description: R16
2026-01-14 13:29:04 | PART: N1SCR04-730-PL18.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:04 | PART: N1SCR04-730-A10.ipt | Description: L60x60x6
2026-01-14 13:29:04 | PART: N1SCR04-730-FL8.ipt | Description: FL50x8
2026-01-14 13:29:04 | PART: N1SCR04-730-FL9.ipt | Description: FL50x8
2026-01-14 13:29:05 | PART: N1SCR04-730-FL10.ipt | Description: FL50x8
2026-01-14 13:29:05 | PART: N1SCR04-730-PART5.ipt | Description: R16
2026-01-14 13:29:05 | PART: N1SCR04-730-PL19.ipt | Description: PL 6mm S355JR
2026-01-14 13:29:05 | SCAN: Found 44 unique parts
2026-01-14 13:29:05 | === SCAN COMPLETED ===
